log_id,mse,activity
aiINOJT0FBFQqx1QhZQaj4EKSd5MYUOJcOxw3fTwkrLydeTa6seHaet9ghph9v3c5F8hKL0q1P6oAblw,2.157453570606264e-09,wrong
Ajx2oNWIGYxpSKUK1mfefqT7FTWsnRCzpijpsOdjpDXatxKW0zPylGV732ybowxez31mdfbyrHOCPspmKA,1.54040203986749e-08,wrong
aMP7dCYBEoL2FnB5IVTZmhnmtAwJWuZJhKWsl0UlVhb2DIIivLe0fPjwQ3Dsa5vbX5E1P939TiQxUbrxqBjA,3.3814815344898556e-05,wrong
aNxb62PTdHtDY61JbkVaDxI5n3dAikAzHFYf6YLrJpJXZPQ2CJQVzaxPSA8nnKbT9MsLURa47VygLsGEcHg,2.239160228013452e-09,wrong
aP6vrv21J0HP88j67xjs7qUvHvJBDsEcTGRwLX8NDB39mToLcn4odjwNbdjOSqYrabLjLXl0ErNJStENSp3g,2.6244487665134135e-09,wrong
apJVr24kz2zinNdiEAqaQ7eaJKMLzUPkjKmAZO0MKUeFJ1jgYxjQrHgr8fRbQsRXexHhW4eXJQiaeppoQ,3.103100936340534e-09,wrong
apOJl5ypsl2ZX5AbwsJ6WkhGrWKO8c3gVApivEYmq1c6LMwb6eWu1qUqkPQLqVBKdr1rAqW50QakgdtXcd4A,2.3247221592478727e-09,wrong
Aq0SCGXlimFoXzVZba2ETHabxKwBhNlP8T8YcQw9qIDceZ7xces7dw1lwKrLzHt0zITbDde58MbSFrisQUy6Q,3.341698518717983e-09,wrong
aRrBYB1wuCb6yy43t53OOmFDm67YbRCgdn48bmx1O65AAmTZ1uScxnAX98SfMnbv7GK6dSVWn5YzwGHg,2.9853315819728056e-09,wrong
AsE0Pr3ivo7ns0wgD1FyrEgiCwowMMC5tua3cZUsLM5u2gzxywdDVIsClCCnJgAe4CbtC5G0F5ORrhLS5yYw,2.5588376594645053e-09,wrong
aTuVcHzz1UYlENx3AfTCuSvejzg7Oc3Ap4p5XdLHoWQ9cpoYg5DTpnuW9O0hmaSD9IkCyAs85cj9ALaJOBag,1.8467668107235437e-05,wrong
aUA35V5Jod5jj0Q9VrpoiKR1CkU3c9WuWO9kuVBygnUIPosm5EoofU5uqeBtCuqcsWtJNMKV0oZBl0Qctw,2.756585932084156e-09,wrong
axJBkO4LPqiNfYEPkNgNsHA9T1DboAvAXCJUKhZBzADVWYyMRFaPluobG8yGFDgiw357t9tfRzAAbcSinJg,3.104355998726361e-06,wrong
AyPfHXxu56QwaPt9WI31bofjq9sKhpXxaDkOcfLb5Y7VFWv8Hmxqj1drXwd7hpMqvn4rZTqKlphTpg,4.42344401832724e-09,wrong
AyymosmsgSg8hOYVGxxq5cVGhR8x4fRbj0lMmT1vMIqAKimwZm8t8U7Z2VQICndMPwZvHKdSNPATBN9riAQ,5.2395327550504985e-09,wrong
AZ4PmQV8DWKBY3XdaCH4uMTZ7aNzria2T6HplLg1B7M6AcAChxo44XtHma9iUUpQjQIzd1oVVSnTJIulMYT9A,2.706803851739367e-09,wrong
azHdaSgeD6IhtqNaddj3YsLjmnGOmJg0q7WKcqAOlXxIBc8Z5ddNs6inJjGnhbOf2jharfFfu7nvpMWPyTkQ,3.2233300893128566e-09,wrong
Azw8qDjrbBaXB6sj8xjDqcehuOdzFhWvJnHAqBnkObnEM5xlb0QnBwC1mJbRX3bhHmkgOGApRQq8f2ZxA,2.4339371594895226e-09,wrong
b1DVk5xmaW0jEOUXph6t7B1rvhL7IzPxQL9GuNPRt1vzEXpkdht2C0A3kskl3FaBFe6lLySIdsj6hGAAmw,2.5688724820216872e-09,wrong
b1J6JrHgq4OIvYnKkII1Jrg5yizCMsWLwOQL9KBZyL4rrc1D42xsgFY1xOg9D5EBFKIy0x3SozajfVeH8Eiw,6.356793196208248e-09,wrong
B1pRBcl6OGkdeXvGxslTR9WoBFYVmaPUMGq6kqg8w3Fq00P48HHCucipNT3rUrwHhfCSWUsQiek1QS5cGXQhyg,2.5915605974300486e-09,wrong
b5xUEntNKozcP0H0QrR7NhabxnmAepvJqTUSm8mENJ0VKoEMt3ZCM1P4by79s0DlRhEcgUF5WaOa6EZNt6w,2.711881703517875e-09,wrong
BCBPX0hnjKimJGhkg9hDaKU26UwEH79ieTheh80trNFgOxAyNMwhc9MLgfWVRDEow9vNGtfviW1xF8dpJQ,2.7682957194517203e-09,wrong
bdmouXZ3gL0AcwZ3vIArM3pTic6729bDMdQH3IV6rlqRxCl01YoZXFMMXw6IwVoTsuOiNuvf7GA0ginPmbA,2.488065370032368e-09,wrong
